	R	jQuery()										
$.)	R	jQuery()										
$.Callbacks	R	jQuery.Callbacks()										
$.Callbacks()	R	jQuery.Callbacks()										
$.Deferred	R	jQuery.Deferred()										
$.Deferred()	R	jQuery.Deferred()										
$.ajax	R	jQuery.ajax()										
$.ajax()	R	jQuery.ajax()										
$.ajaxPrefilter	R	jQuery.ajaxPrefilter()										
$.ajaxPrefilter()	R	jQuery.ajaxPrefilter()										
$.ajaxSetup	R	jQuery.ajaxSetup()										
$.ajaxSetup()	R	jQuery.ajaxSetup()										
$.ajaxTransport	R	jQuery.ajaxTransport()										
$.ajaxTransport()	R	jQuery.ajaxTransport()										
$.boxModel	R	jQuery.boxModel										
$.browser	R	jQuery.browser										
$.contains	R	jQuery.contains()										
$.contains()	R	jQuery.contains()										
$.cssHooks	R	jQuery.cssHooks										
$.cssNumber	R	jQuery.cssNumber										
$.data	R	jQuery.data()										
$.data()	R	jQuery.data()										
$.dequeue	R	jQuery.dequeue()										
$.dequeue()	R	jQuery.dequeue()										
$.each	R	jQuery.each()										
$.each()	R	jQuery.each()										
$.error	R	jQuery.error()										
$.error()	R	jQuery.error()										
$.escapeSelector	R	jQuery.escapeSelector()										
$.escapeSelector()	R	jQuery.escapeSelector()										
$.extend	R	jQuery.extend()										
$.extend()	R	jQuery.extend()										
$.fn.extend	R	jQuery.fn.extend()										
$.fn.extend()	R	jQuery.fn.extend()										
$.fx.interval	R	jQuery.fx.interval										
$.fx.off	R	jQuery.fx.off										
$.get	R	jQuery.get()										
$.get()	R	jQuery.get()										
$.getJSON	R	jQuery.getJSON()										
$.getJSON()	R	jQuery.getJSON()										
$.getScript	R	jQuery.getScript()										
$.getScript()	R	jQuery.getScript()										
$.globalEval	R	jQuery.globalEval()										
$.globalEval()	R	jQuery.globalEval()										
$.grep	R	jQuery.grep()										
$.grep()	R	jQuery.grep()										
$.hasData	R	jQuery.hasData()										
$.hasData()	R	jQuery.hasData()										
$.holdReady	R	jQuery.holdReady()										
$.holdReady()	R	jQuery.holdReady()										
$.htmlPrefilter	R	jQuery.htmlPrefilter()										
$.htmlPrefilter()	R	jQuery.htmlPrefilter()										
$.inArray	R	jQuery.inArray()										
$.inArray()	R	jQuery.inArray()										
$.isArray	R	jQuery.isArray()										
$.isArray()	R	jQuery.isArray()										
$.isEmptyObject	R	jQuery.isEmptyObject()										
$.isEmptyObject()	R	jQuery.isEmptyObject()										
$.isFunction	R	jQuery.isFunction()										
$.isFunction()	R	jQuery.isFunction()										
$.isNumeric	R	jQuery.isNumeric()										
$.isNumeric()	R	jQuery.isNumeric()										
$.isPlainObject	R	jQuery.isPlainObject()										
$.isPlainObject()	R	jQuery.isPlainObject()										
$.isWindow	R	jQuery.isWindow()										
$.isWindow()	R	jQuery.isWindow()										
